city_name,2-Trips,3-Trips,4-Trips,5-Trips,6-Trips,7-Trips,8-Trips,9-Trips,10-Trips
Chandigarh,32.31,19.25,15.74,12.21,7.42,5.48,3.47,2.33,1.79
Coimbatore,11.21,14.82,15.56,20.62,17.64,10.47,6.15,2.31,1.22
Indore,34.34,22.69,13.40,10.34,6.85,5.24,3.26,2.38,1.51
Jaipur,50.14,20.73,12.12,6.29,4.13,2.52,1.90,1.20,0.97
Kochi,47.67,24.35,11.81,6.48,3.91,2.11,1.65,1.21,0.81
Lucknow,9.66,14.77,16.20,18.42,20.18,11.33,6.43,1.91,1.10
Mysore,48.75,24.44,12.73,5.82,4.06,1.76,1.42,0.54,0.47
Surat,9.76,14.26,16.55,19.75,18.45,11.89,6.24,1.74,1.35
Vadodara,9.87,14.17,16.52,18.06,19.08,12.86,5.78,2.05,1.61
Visakhapatnam,51.25,24.96,9.98,5.44,3.19,1.98,1.39,0.88,0.92
